url;title_result
https://www.telegraaf.nl/nieuws/801193809/nasa-legt-sterkste-zonnevlam-in-jaren-vast-dit-weekend-magnetische-stormen-verwacht;Just a moment...
https://www.telegraaf.nl/nieuws/1613766265/heldin-98-overleden-die-miljoenen-levens-redde-tijdens-de-wo-ii-door-ontcijferen-van-nazi-codes;Just a moment...
https://www.telegraaf.nl/nieuws/1322556858/nederlander-vast-in-spanje-om-drugssmokkel-bulgaarse-trucks-met-dubbele-bodem;Just a moment...
https://www.telegraaf.nl/entertainment/799027043/carlo-boszhard-volledig-in-shock-door-deelnemer-the-masked-singer;Just a moment...
https://www.telegraaf.nl/nieuws/1356032017/acht-jongeren-gewond-na-zware-explosie-door-gepruts-met-gas-twee-in-levensgevaar;Just a moment...
https://www.telegraaf.nl/entertainment/380611619/doodsoorzaak-friends-acteur-matthew-perry-bekendgemaakt-acute-effecten-van-ketamine;Just a moment...
https://www.telegraaf.nl/sport/753369221/jake-paul-doet-wat-hij-belooft-met-knock-out-voor-kerst;Just a moment...
https://www.telegraaf.nl/nieuws/578901288/afscheid-van-hilversumse-zusjes-die-omkwamen-bij-ongeluk-met-spookrijder-op-a1;Just a moment...
https://www.telegraaf.nl/sport/366871104/horrorblessure-aa-gent-doelman-verschrikkelijke-pijn-ik-wilde-mijn-been-er-afhakken;Just a moment...
https://www.unian.ua/war/u-rosiyan-veliki-vtrati-lotnogo-skladu-ta-ekipazhiv-ale-voni-ne-ye-kritichnimi-komandir-ekipazhu-mi-8-gucul-12482313.html;"""У росіян великі втрати льотного складу та екіпажів. Але вони не є критичними"", - командир екіпажу Мі-8 ""Гуцул"" — УНІАН"
https://www.unian.ua/incidents/vibuh-na-zakarpatti-cherez-deputata-odniy-lyudini-amputuvati-kincivku-12485406.html;Вибух на Закарпатті через депутата - одній людині ампутувати кінцівку — УНІАН
https://www.unian.ua/war/bild-rozkriv-novu-strategiyu-zsu-proti-rf-vbivati-12485388.html;Bild розкрив нову стратегію ЗСУ проти РФ - вбивати — УНІАН
https://www.unian.ua/war/viyna-v-ukrajini-ukrajina-maye-95-nevikoristanoji-zahidnoji-zbroji-12485415.html;Війна в Україні - Україна має 95% невикористаної Західної зброї — УНІАН
https://www.unian.ua/war/v-ukrajini-na-ves-doneck-palaye-baza-armiji-rf-shcho-tam-bulo-video-12485358.html;В Україні на весь Донецьк палає база армії РФ: що там було (відео) — УНІАН
https://www.unian.ua/war/vtrati-voroga-na-16-grudnya-2023-roku-de-rosiyani-vtratili-rekordne-chislo-sposterezhnih-punktiv-12485304.html;Втрати ворога на 16 грудня 2023 року - де росіяни втратили рекордне число спостережних пунктів — УНІАН
https://sport.unian.ua/football/hto-vigraye-yevro-2024-z-futbolu-nazvano-golovnih-favoritiv-turniru-12476526.html?_gl=1*11plzmd*_ga*MjUwMTE0NTEyLjE3MDI3MzA2MjE.*_ga_238PLP1PQZ*MTcwMjczMDYyMC4xLjEuMTcwMjczMDczNi42MC4wLjA.*_ga_P6EEJX21DY*MTcwMjczMDYyMC4xLjEuMTcwMjczMDczNi42MC4wLjA.;Хто виграє Євро-2024 з футболу: названо головних фаворитів турніру — УНІАН
https://www.unian.ua/politics/ukrajina-v-yes-chi-ni-zalishilosya-proyti-dvi-fazi-12485340.html;Україна в ЄС чи ні - залишилося пройти дві фази — УНІАН
https://www.unian.ua/politics/ukrajina-ce-yevropa-peregovori-startuyut-12485205.html;Україна – це Європа: переговори стартують — УНІАН
https://www.unian.ua/economics/transport/vihid-z-polshchi-ukrajinskiy-biznes-adaptuyetsya-do-blokadi-kordonu-12483465.html;Вихід з Польщі: український бізнес адаптується до блокади кордону — УНІАН
